bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
50,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
51,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
52,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
54,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
55,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
56,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
57,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
58,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
59,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
60,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
61,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
62,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
64,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
65,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
66,"major","---","Windows","a@gmail.com","ASSIGNED","---","It should be not allow to without login add and delete into cart When I try to add without login it is allow to add cart and delete  cart"
67,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
68,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
69,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
70,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
71,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to  add cart and delete  cart"
72,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
73,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
74,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
75,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
76,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
77,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
78,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
79,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
80,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
81,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
82,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
83,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
84,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
85,"major","---","Windows","a@gmail.com","ASSIGNED","---","It should be not allow to without using account and new user"
86,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I Click on image is not open and clickable"
87,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I Click on image is not open and clickable"
88,"major","---","Windows","a@gmail.com","ASSIGNED","---","it should be button clickable and password received in email"
89,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It should be not  allow to user special characters or symbols"
90,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It should be not  allow to user special characters or symbols"
91,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","There is no hide and show option"
